leto,podrocje,ime,URL,datum rojstva,drzava rojstva,nagrade
1901,Fizika,Wilhelm Röntgen,https://en.wikipedia.org/wiki/Wilhelm_R%C3%B6ntgen,1845-03-27,German Confederation,Rumford Medal; Matteucci Medal; Elliott Cresson Medal; Barnard Medal for Meritorious Service to Science; Nobel Prize in Physics
1902,Fizika,Hendrik Lorentz,https://en.wikipedia.org/wiki/Hendrik_Lorentz,1853-07-18,Netherlands,Nobel Prize in Physics; ForMemRS; Rumford Medal; Franklin Medal; Copley Medal
1902,Fizika,Pieter Zeeman,https://en.wikipedia.org/wiki/Pieter_Zeeman,1865-05-25,Netherlands,Nobel Prize in Physics; Matteucci Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Henry Draper Medal; Rumford Medal; Franklin Medal
1903,Fizika,Henri Becquerel,https://en.wikipedia.org/wiki/Henri_Becquerel,1852-12-15,French Empire,Rumford Medal; Legion of Honour (Officer; 1900); Legion of Honour; Nobel Prize in Physics; Barnard Medal for Meritorious Service to Science; ForMemRS
1903,Fizika,Pierre Curie,https://en.wikipedia.org/wiki/Pierre_Curie,1859-05-15,French Empire,Davy Medal; Nobel Prize in Physics; Matteucci Medal; Elliott Cresson Medal
1903,Fizika,Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,1867-11-07,Russian Empire,Davy Medal; Nobel Prize in Physics; Matteucci Medal; Actonian Prize; Elliott Cresson Medal; Albert Medal; Nobel Prize in Chemistry; Willard Gibbs Award; John Scott Medal; Cameron Prize for Therapeutics of the University of Edinburgh
1904,Fizika,Lord Rayleigh,https://en.wikipedia.org/wiki/Lord_Rayleigh,1842-11-12,UKGBI,Smith's Prize; FRS; Royal Medal; De Morgan Medal; Matteucci Medal; Barnard Medal for Meritorious Service to Science; Faraday Lectureship Prize; Copley Medal; Order of Merit; Nobel Prize in Physics; Albert Medal; Elliott Cresson Medal; Rumford Medal
1905,Fizika,Philipp Lenard,https://en.wikipedia.org/wiki/Philipp_Lenard,1862-06-07,Austrian Empire,Rumford Medal; Matteucci Medal; Nobel Prize in Physics; Franklin Medal
1906,Fizika,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson,1856-12-18,UKGBI,Smith's Prize; Adams Prize; Royal Medal; Hodgkins Medal; Hughes Medal; Nobel Prize in Physics; Knight Bachelor; Elliott Cresson Medal; Order of Merit; Copley Medal; RSA Albert Medal; Franklin Medal; IET Faraday Medal; Dalton Medal
1907,Fizika,Albert A. Michelson,https://en.wikipedia.org/wiki/Albert_A._Michelson,1852-12-19,Kingdom of Prussia,Rumford Prize; Matteucci Medal; Copley Medal; Nobel Prize in Physics; Elliott Cresson Medal; Henry Draper Medal; Prix Jules Janssen; RAS Gold Medal; Franklin Medal; RSA Albert Medal; Duddell Medal and Prize
